,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
121,1792_2048_8192_8448,MSAVI,65536,45849,4786.0,50635.0,14901.0,best,0.6996002197265625,0.073028564453125,0.2273712158203125
122,2048_2304_1536_1792,MSAVI,65536,39886,6155.0,46041.0,19495.0,best,0.608612060546875,0.0939178466796875,0.2974700927734375
123,2048_2304_1792_2048,MSAVI,65536,38084,2776.0,40860.0,24676.0,best,0.58111572265625,0.0423583984375,0.37652587890625
124,2048_2304_2048_2304,MSAVI,65536,37049,1812.0,38861.0,26675.0,best,0.5653228759765625,0.02764892578125,0.4070281982421875
125,2048_2304_2304_2560,MSAVI,65536,35981,9163.0,45144.0,20392.0,best,0.5490264892578125,0.1398162841796875,0.3111572265625
126,2048_2304_2560_2816,MSAVI,65536,40670,7008.0,47678.0,17858.0,best,0.620574951171875,0.10693359375,0.272491455078125
127,2048_2304_2816_3072,MSAVI,65536,36025,5431.0,41456.0,24080.0,best,0.5496978759765625,0.0828704833984375,0.367431640625
128,2048_2304_3072_3328,MSAVI,65536,36550,7988.0,44538.0,20998.0,best,0.557708740234375,0.12188720703125,0.320404052734375
129,2048_2304_3328_3584,MSAVI,65536,40393,8286.0,48679.0,16857.0,best,0.6163482666015625,0.126434326171875,0.2572174072265625
130,2048_2304_3584_3840,MSAVI,65536,43742,2401.0,46143.0,19393.0,best,0.667449951171875,0.0366363525390625,0.2959136962890625
131,2048_2304_3840_4096,MSAVI,65536,38917,1361.0,40278.0,25258.0,best,0.5938262939453125,0.0207672119140625,0.385406494140625
132,2048_2304_4096_4352,MSAVI,65536,38261,3276.0,41537.0,23999.0,best,0.5838165283203125,0.04998779296875,0.3661956787109375
133,2048_2304_4352_4608,MSAVI,65536,40704,670.0,41374.0,24162.0,best,0.62109375,0.010223388671875,0.368682861328125
134,2048_2304_4608_4864,MSAVI,65536,35003,5832.0,40835.0,24701.0,best,0.5341033935546875,0.0889892578125,0.3769073486328125
135,2048_2304_4864_5120,MSAVI,65536,35925,3059.0,38984.0,26552.0,best,0.5481719970703125,0.0466766357421875,0.4051513671875
136,2048_2304_5120_5376,MSAVI,65536,41550,3778.0,45328.0,20208.0,best,0.634002685546875,0.057647705078125,0.308349609375
137,2048_2304_5376_5632,MSAVI,65536,43500,9266.0,52766.0,12770.0,best,0.66375732421875,0.141387939453125,0.194854736328125
138,2048_2304_5632_5888,MSAVI,65536,34846,5369.0,40215.0,25321.0,best,0.531707763671875,0.0819244384765625,0.3863677978515625
139,2048_2304_5888_6144,MSAVI,65536,35709,6492.0,42201.0,23335.0,best,0.5448760986328125,0.09906005859375,0.3560638427734375
140,2048_2304_6144_6400,MSAVI,65536,33932,3744.0,37676.0,27860.0,best,0.51776123046875,0.05712890625,0.42510986328125
141,2048_2304_6400_6656,MSAVI,65536,41666,7712.0,49378.0,16158.0,best,0.635772705078125,0.11767578125,0.246551513671875
142,2048_2304_6656_6912,MSAVI,65536,37030,3987.0,41017.0,24519.0,best,0.565032958984375,0.0608367919921875,0.3741302490234375
143,2048_2304_6912_7168,MSAVI,65536,38100,3980.0,42080.0,23456.0,best,0.58135986328125,0.06072998046875,0.35791015625
144,2048_2304_7168_7424,MSAVI,65536,35185,4533.0,39718.0,25818.0,best,0.5368804931640625,0.0691680908203125,0.393951416015625
145,2048_2304_7424_7680,MSAVI,65536,45084,10532.0,55616.0,9920.0,best,0.68792724609375,0.16070556640625,0.1513671875
146,2048_2304_7680_7936,MSAVI,65536,50629,6577.0,57206.0,8330.0,best,0.7725372314453125,0.1003570556640625,0.127105712890625
147,2048_2304_7936_8192,MSAVI,65536,41523,6290.0,47813.0,17723.0,best,0.6335906982421875,0.095977783203125,0.2704315185546875
148,2048_2304_8192_8448,MSAVI,65536,40701,3825.0,44526.0,21010.0,best,0.6210479736328125,0.0583648681640625,0.320587158203125
149,2048_2304_8448_8704,MSAVI,65536,36978,5861.0,42839.0,22697.0,best,0.564239501953125,0.0894317626953125,0.3463287353515625
150,2048_2304_8704_8960,MSAVI,65536,35483,4710.0,40193.0,25343.0,best,0.5414276123046875,0.071868896484375,0.3867034912109375
151,2304_2560_1536_1792,MSAVI,65536,37491,2403.0,39894.0,25642.0,best,0.5720672607421875,0.0366668701171875,0.391265869140625
152,2304_2560_1792_2048,MSAVI,65536,38898,2500.0,41398.0,24138.0,best,0.593536376953125,0.03814697265625,0.368316650390625
153,2304_2560_2048_2304,MSAVI,65536,40007,2198.0,42205.0,23331.0,best,0.6104583740234375,0.033538818359375,0.3560028076171875
154,2304_2560_2304_2560,MSAVI,65536,41174,7945.0,49119.0,16417.0,best,0.628265380859375,0.1212310791015625,0.2505035400390625
155,2304_2560_2560_2816,MSAVI,65536,38443,8087.0,46530.0,19006.0,best,0.5865936279296875,0.1233978271484375,0.290008544921875
156,2304_2560_2816_3072,MSAVI,65536,35433,6365.0,41798.0,23738.0,best,0.5406646728515625,0.0971221923828125,0.362213134765625
157,2304_2560_3072_3328,MSAVI,65536,38907,7412.0,46319.0,19217.0,best,0.5936737060546875,0.11309814453125,0.2932281494140625
158,2304_2560_3328_3584,MSAVI,65536,41486,11747.0,53233.0,12303.0,best,0.633026123046875,0.1792449951171875,0.1877288818359375
159,2304_2560_3584_3840,MSAVI,65536,40098,9555.0,49653.0,15883.0,best,0.611846923828125,0.1457977294921875,0.2423553466796875
