,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
181,2560_2816_3584_3840,MSAVI,65536,36302,6602.0,42904.0,22632.0,best,0.553924560546875,0.100738525390625,0.3453369140625
182,2560_2816_3840_4096,MSAVI,65536,36409,8055.0,44464.0,21072.0,best,0.5555572509765625,0.1229095458984375,0.321533203125
183,2560_2816_4096_4352,MSAVI,65536,35275,12581.0,47856.0,17680.0,best,0.5382537841796875,0.1919708251953125,0.269775390625
184,2560_2816_4352_4608,MSAVI,65536,31906,11043.0,42949.0,22587.0,best,0.486846923828125,0.1685028076171875,0.3446502685546875
185,2560_2816_4608_4864,MSAVI,65536,34052,8660.0,42712.0,22824.0,best,0.51959228515625,0.13214111328125,0.3482666015625
186,2560_2816_4864_5120,MSAVI,65536,36416,13402.0,49818.0,15718.0,best,0.5556640625,0.204498291015625,0.239837646484375
187,2560_2816_5120_5376,MSAVI,65536,36624,11244.0,47868.0,17668.0,best,0.558837890625,0.17156982421875,0.26959228515625
188,2560_2816_5376_5632,MSAVI,65536,40174,12039.0,52213.0,13323.0,best,0.613006591796875,0.1837005615234375,0.2032928466796875
189,2560_2816_5632_5888,MSAVI,65536,39102,17797.0,56899.0,8637.0,best,0.596649169921875,0.2715606689453125,0.1317901611328125
190,2560_2816_5888_6144,MSAVI,65536,37332,15735.0,53067.0,12469.0,best,0.56964111328125,0.2400970458984375,0.1902618408203125
191,2560_2816_6144_6400,MSAVI,65536,36443,10142.0,46585.0,18951.0,best,0.5560760498046875,0.154754638671875,0.2891693115234375
192,2560_2816_6400_6656,MSAVI,65536,34540,7511.0,42051.0,23485.0,best,0.52703857421875,0.1146087646484375,0.3583526611328125
193,2560_2816_6656_6912,MSAVI,65536,33244,12513.0,45757.0,19779.0,best,0.50726318359375,0.1909332275390625,0.3018035888671875
194,2560_2816_6912_7168,MSAVI,65536,35224,6086.0,41310.0,24226.0,best,0.5374755859375,0.092864990234375,0.369659423828125
195,2560_2816_7168_7424,MSAVI,65536,40499,3452.0,43951.0,21585.0,best,0.6179656982421875,0.05267333984375,0.3293609619140625
196,2560_2816_7424_7680,MSAVI,65536,39620,6548.0,46168.0,19368.0,best,0.60455322265625,0.09991455078125,0.2955322265625
197,2560_2816_7680_7936,MSAVI,65536,35923,7162.0,43085.0,22451.0,best,0.5481414794921875,0.109283447265625,0.3425750732421875
