patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
1792_2048_1792_2048,MSAVI,65535,34558,2248.0,36806.0,28729.0,best,0.527321278706035,0.03430228122377356,0.4383764400701915
1792_2048_2048_2304,MSAVI,65535,40878,8399.0,49277.0,16258.0,best,0.6237582970931563,0.12816052491035324,0.24808117799649043
1792_2048_2304_2560,MSAVI,65535,40830,9115.0,49945.0,15590.0,best,0.6230258640421149,0.1390859845883879,0.2378881513694972
1792_2048_2560_2816,MSAVI,65535,47673,2024.0,49697.0,15838.0,best,0.7274433508812085,0.03088426031891356,0.24167238879987793
1792_2048_2816_3072,MSAVI,65535,40611,5469.0,46080.0,19455.0,best,0.6196841382467384,0.08345159075303273,0.2968642710002289
1792_2048_3072_3328,MSAVI,65535,43209,7831.0,51040.0,14495.0,best,0.6593270771343557,0.11949340047302968,0.22117952239261462
1792_2048_3328_3584,MSAVI,65535,42242,7944.0,50186.0,15349.0,best,0.6445716029602503,0.12121766994735637,0.23421072709239338
1792_2048_3584_3840,MSAVI,65535,40578,8296.0,48874.0,16661.0,best,0.6191805905241474,0.1265888456549935,0.25423056382085907
1792_2048_3840_4096,MSAVI,65535,39151,11891.0,51042.0,14493.0,best,0.5974059662775616,0.18144502937361714,0.22114900434882123
1792_2048_4096_4352,MSAVI,65535,39625,6162.0,45787.0,19748.0,best,0.6046387426565957,0.09402609292744335,0.3013351644159609
1792_2048_4352_4608,MSAVI,65535,38899,6979.0,45878.0,19657.0,best,0.5935606927595941,0.10649271381704432,0.29994659342336155
1792_2048_4608_4864,MSAVI,65535,39050,10186.0,49236.0,16299.0,best,0.5958648050659953,0.15542839703974975,0.24870679789425498
1792_2048_4864_5120,MSAVI,65535,37297,10122.0,47419.0,18116.0,best,0.5691157396810864,0.1544518196383612,0.2764324406805524
1792_2048_5120_5376,MSAVI,65535,36950,10080.0,47030.0,18505.0,best,0.5638208590829328,0.15381094071869994,0.2823682001983673
1792_2048_5376_5632,MSAVI,65535,39473,8783.0,48256.0,17279.0,best,0.6023193713282978,0.13401998931868467,0.2636606393530175
1792_2048_5632_5888,MSAVI,65535,38872,9569.0,48441.0,17094.0,best,0.5931486991683833,0.14601358052948807,0.26083772030212865
1792_2048_5888_6144,MSAVI,65535,36268,2582.0,38850.0,26685.0,best,0.5534142061493859,0.03939879453727016,0.407186999313344
